game_id,time_control,num_plies,white_s_att,black_s_att,white_lgbm_a0g,black_lgbm_a0g,white_detector_a3g_seed0,black_detector_a3g_seed0,white_cnn_bilstm_a4,black_cnn_bilstm_a4
2019-01_game_0010315,bullet,45,197.8945,221.3249,0.51472,0.570712,0.410624,0.192265,0.576518,0.187083
2019-02_game_0002677,bullet,44,183.1545,213.5548,0.45548,0.366333,0.084844,0.103734,0.212808,0.197408
2023-05_game_0020633,bullet,28,99.0977,80.5156,0.446358,0.402196,0.090889,0.376098,0.210176,0.513617
2023-05_game_0029370,bullet,89,202.1948,221.0735,0.646246,0.40334,0.555508,0.425351,0.551267,0.598514
2019-05_game_0015582,bullet,43,82.8982,93.9727,0.684288,0.401085,0.553905,0.202863,0.503803,0.232605
2019-06_game_0015350,bullet,66,175.2855,181.6378,0.374427,0.56337,0.360811,0.195912,0.261686,0.444155
2019-05_game_0006498,bullet,46,260.7238,283.0345,0.373718,0.436234,0.178602,0.196204,0.274944,0.266136
2019-02_game_0006927,bullet,39,93.5684,117.1672,0.300384,0.263454,0.183333,0.274727,0.601774,0.256978
2023-05_game_0006257,bullet,74,228.9601,272.1514,0.365596,0.563993,0.246043,0.464286,0.404628,0.627368
2019-05_game_0015163,bullet,62,170.5574,167.9474,0.367844,0.593717,0.215739,0.596615,0.454196,0.553989
2019-03_game_0026648,bullet,59,37.4191,37.7692,0.484073,0.677424,0.623568,0.206725,0.424158,0.241125
2019-05_game_0021403,bullet,52,434.6163,473.2313,0.437082,0.517385,0.278854,0.781027,0.315739,0.746267
2019-06_game_0014369,bullet,67,125.8416,83.5489,0.738076,0.380731,0.297276,0.31764,0.588821,0.3883
2019-05_game_0029862,bullet,63,122.1592,198.6378,0.672838,0.400407,0.910496,0.194173,0.608202,0.193542
2019-06_game_0007584,bullet,21,201.3104,197.4731,0.167841,0.098771,0.059228,0.034835,0.404266,0.225464
2019-05_game_0005671,bullet,86,453.0037,358.3485,0.781066,0.365747,0.473925,0.377005,0.509497,0.59253
2019-02_game_0008415,bullet,64,255.1673,120.0418,0.469119,0.412465,0.369849,0.372557,0.156814,0.277117
2019-01_game_0012714,bullet,44,131.1266,168.1893,0.508114,0.775008,0.141449,0.598028,0.163462,0.610366
2023-05_game_0009334,bullet,39,330.9562,349.7207,0.770556,0.380246,0.549828,0.1743,0.496604,0.330514
2019-01_game_0009984,bullet,71,206.3916,205.9256,0.801206,0.350706,0.367147,0.269295,0.692553,0.289543
2019-03_game_0015797,bullet,43,53.8892,42.4481,0.398561,0.34715,0.293581,0.205529,0.598516,0.117328
2019-03_game_0011394,bullet,100,259.8529,337.8867,0.537097,0.470739,0.495064,0.36479,0.705721,0.532451
2019-01_game_0018250,bullet,90,132.6155,137.4344,0.677998,0.37771,0.270889,0.497157,0.258328,0.318209
2019-01_game_0012375,bullet,46,159.8813,132.8306,0.353095,0.810203,0.182098,0.746637,0.364236,0.293439
2019-03_game_0016883,bullet,94,140.8377,135.2887,0.354394,0.571146,0.412599,0.43717,0.368506,0.531949
2019-04_game_0003774,bullet,67,190.0898,133.2899,0.363611,0.792733,0.517832,0.268253,0.390128,0.426422
2019-01_game_0029939,bullet,58,277.3529,241.0326,0.37977,0.625936,0.264636,0.316012,0.226528,0.566332
2019-02_game_0018140,bullet,41,158.3792,161.2452,0.638462,0.459703,0.300234,0.199335,0.59204,0.189151
2019-04_game_0004407,bullet,38,155.5497,187.2272,0.173936,0.186436,0.093781,0.166883,0.279105,0.385889
2019-03_game_0021695,bullet,59,115.5122,161.8887,0.774678,0.34963,0.814929,0.161763,0.581388,0.194899
2019-06_game_0007339,bullet,69,327.7923,629.9176,0.701323,0.365103,0.557891,0.232078,0.764127,0.638795
2019-04_game_0022190,bullet,51,267.9272,287.5785,0.665146,0.407966,0.669821,0.174473,0.830466,0.172277
2019-02_game_0007387,bullet,42,181.6809,198.7392,0.4542,0.485798,0.183125,0.862072,0.167698,0.550266
2019-06_game_0005810,bullet,62,33.5974,36.2934,0.443901,0.497985,0.358458,0.459378,0.163633,0.361572
2019-03_game_0029128,bullet,68,185.7185,217.9617,0.437982,0.382422,0.295942,0.271185,0.396565,0.35433
2019-02_game_0018386,bullet,45,524.5661,255.1414,0.488499,0.555557,0.599645,0.20844,0.644341,0.247151
2019-06_game_0011288,bullet,100,290.4603,186.1241,0.424847,0.702629,0.400822,0.628562,0.450076,0.656408
2019-04_game_0025451,bullet,37,136.6822,124.7272,0.818035,0.318041,0.323733,0.155768,0.406537,0.2708
2019-04_game_0029338,bullet,87,64.6145,73.1738,0.835911,0.505434,0.62331,0.267709,0.762195,0.632376
2019-01_game_0009093,bullet,55,187.6215,354.0944,0.863215,0.332519,0.740317,0.209833,0.80212,0.32209
2019-04_game_0029805,bullet,66,202.591,154.8967,0.320224,0.80473,0.344166,0.45605,0.215195,0.808609
2019-02_game_0001575,bullet,34,302.6335,323.9914,0.399729,0.545355,0.105633,0.604306,0.164667,0.582646
2019-06_game_0027798,bullet,100,146.9263,158.8269,0.563011,0.587847,0.497008,0.380277,0.48592,0.472283
2019-01_game_0008420,bullet,70,207.3288,155.9123,0.423975,0.812273,0.178608,0.952494,0.240489,0.720958
2019-03_game_0000378,bullet,49,112.0833,148.8839,0.470077,0.489807,0.791413,0.179152,0.830302,0.234605
2019-03_game_0013430,bullet,83,516.3918,575.3669,0.369447,0.778456,0.401374,0.381232,0.808581,0.519382
2019-01_game_0027951,bullet,51,269.6898,263.9061,0.627967,0.763767,0.265502,0.610414,0.652853,0.484648
2019-03_game_0029237,bullet,86,318.943,315.4103,0.367854,0.533088,0.429583,0.551029,0.50491,0.661686
2019-01_game_0012046,bullet,61,151.0384,128.604,0.760999,0.317805,0.844754,0.193982,0.613051,0.277411
2019-01_game_0009769,bullet,94,366.1423,342.8043,0.467912,0.363391,0.426358,0.311864,0.543653,0.667506
2023-05_game_0022499,bullet,55,279.7118,147.626,0.587679,0.567208,0.255186,0.436826,0.325133,0.178205
2019-04_game_0005754,bullet,22,161.5788,172.0379,0.246786,0.237563,0.041108,0.294469,0.157549,0.302564
2019-04_game_0011416,bullet,56,120.7483,135.0438,0.407659,0.695371,0.400035,0.354953,0.182945,0.260278
2019-03_game_0028006,bullet,84,110.6837,132.1545,0.546129,0.68587,0.191679,0.973001,0.478595,0.572191
2023-05_game_0025680,bullet,53,71.5949,75.2285,0.325615,0.716668,0.248562,0.410909,0.436939,0.154758
2019-02_game_0004065,bullet,65,571.9064,555.2437,0.389889,0.419096,0.772694,0.264844,0.874993,0.324611
2023-05_game_0020396,bullet,100,285.2557,289.2122,0.562813,0.403394,0.67921,0.384708,0.520615,0.614969
2023-05_game_0028630,bullet,49,475.6027,797.6955,0.630796,0.34279,0.310027,0.183242,0.823025,0.302391
2019-04_game_0003741,bullet,100,369.4764,430.331,0.418568,0.572159,0.316161,0.917053,0.53526,0.558583
2019-03_game_0012640,bullet,59,56.4362,56.1323,0.810841,0.354622,0.588411,0.198019,0.690639,0.209175
2019-02_game_0025638,bullet,56,164.948,179.4194,0.485048,0.500989,0.275626,0.381778,0.198509,0.607187
2019-06_game_0002094,bullet,62,254.6047,328.824,0.522575,0.674817,0.183743,0.962043,0.220217,0.546269
2019-01_game_0011893,bullet,24,72.1664,198.5775,0.427075,0.342255,0.060429,0.307316,0.155381,0.443782
2023-05_game_0008952,bullet,42,240.398,259.6121,0.43511,0.54202,0.176962,0.911541,0.307783,0.184298
2019-03_game_0000352,bullet,31,233.1315,232.692,0.329728,0.323672,0.275616,0.204725,0.177772,0.127142
2019-02_game_0018429,bullet,52,361.1736,324.1498,0.271064,0.209895,0.180604,0.188893,0.159145,0.566697
2019-05_game_0008870,bullet,75,421.7106,539.1445,0.82263,0.437954,0.595067,0.209744,0.692603,0.254785
2019-06_game_0008711,bullet,85,141.4043,151.6662,0.777505,0.383263,0.529018,0.301243,0.827903,0.459334
2019-05_game_0023013,bullet,75,519.9512,524.0374,0.434376,0.459502,0.463088,0.36392,0.808555,0.831791
2019-05_game_0026839,bullet,73,224.7753,382.1417,0.374426,0.637161,0.197002,0.73153,0.330625,0.245716
2019-06_game_0001270,bullet,98,229.5632,297.7901,0.469984,0.469919,0.399936,0.602702,0.555091,0.693772
2019-03_game_0007696,bullet,57,741.2425,797.832,0.689574,0.418333,0.789404,0.302337,0.570377,0.298462
2019-01_game_0023554,bullet,100,116.9825,259.1442,0.435798,0.530518,0.367333,0.440592,0.20561,0.487402
2019-03_game_0012152,bullet,28,379.258,469.174,0.33594,0.562501,0.107725,0.223046,0.206931,0.24883
2019-05_game_0005045,bullet,55,106.0709,162.245,0.453832,0.822284,0.19574,0.589678,0.792787,0.292715
2019-04_game_0002638,bullet,40,120.3657,129.7464,0.509883,0.554789,0.154615,0.43942,0.228788,0.523166
2019-02_game_0015664,bullet,47,416.4841,484.6776,0.727955,0.403362,0.80095,0.143235,0.467,0.217852
2019-06_game_0021637,bullet,100,236.382,208.2129,0.391857,0.589324,0.560189,0.565006,0.4047,0.328653
2019-02_game_0006659,bullet,100,481.2479,538.2395,0.527144,0.555883,0.449346,0.583851,0.691134,0.612772
2019-04_game_0002928,bullet,43,154.1606,145.8107,0.537181,0.577325,0.157387,0.153692,0.555284,0.215793
2023-05_game_0007620,bullet,79,155.5787,152.1477,0.85239,0.423616,0.887081,0.271187,0.720331,0.402579
2019-04_game_0026066,bullet,21,370.0697,458.9547,0.230221,0.102271,0.083674,0.051023,0.48537,0.214037
2019-03_game_0003731,bullet,100,372.9324,347.7271,0.542883,0.547459,0.637938,0.37143,0.259822,0.344245
2019-05_game_0022629,bullet,84,116.8411,117.6389,0.402286,0.358531,0.356833,0.385218,0.527895,0.59472
2019-05_game_0002203,bullet,100,197.7684,216.3583,0.546554,0.407996,0.518731,0.348193,0.412538,0.630926
2019-04_game_0004773,bullet,56,386.6726,380.3636,0.335051,0.744764,0.177589,0.790926,0.320583,0.823264
2019-06_game_0024143,bullet,67,113.2718,112.9788,0.626579,0.442484,0.141586,0.421896,0.411769,0.224844
2019-01_game_0014485,bullet,52,267.7867,126.9142,0.437036,0.714489,0.20833,0.378259,0.270308,0.93675
2019-05_game_0020215,bullet,98,363.9325,428.7244,0.38863,0.670038,0.348192,0.876199,0.458143,0.512042
2019-02_game_0006553,bullet,46,60.529,106.1858,0.441147,0.600529,0.166543,0.249962,0.127558,0.474979
2019-01_game_0015300,bullet,78,190.7197,363.3374,0.557639,0.545894,0.1889,0.958652,0.439035,0.627679
2019-04_game_0007714,bullet,50,598.9689,504.879,0.481687,0.471934,0.228292,0.249512,0.246214,0.561968
2019-03_game_0016748,bullet,53,289.1391,417.9124,0.663453,0.37647,0.714424,0.247548,0.476374,0.150662
2019-01_game_0026509,bullet,100,177.34,196.5836,0.57407,0.416651,0.590682,0.428065,0.451584,0.522731
2023-05_game_0001896,bullet,43,392.673,409.8647,0.588039,0.459377,0.785961,0.27214,0.597469,0.215582
2019-04_game_0028927,bullet,39,117.4046,142.7124,0.657694,0.49153,0.310593,0.213888,0.282021,0.553078
2019-03_game_0023181,bullet,91,81.6484,136.429,0.551185,0.457267,0.581064,0.289974,0.367826,0.391148
2023-05_game_0003764,bullet,99,95.6353,185.8937,0.675557,0.371014,0.542371,0.313513,0.592126,0.390826
2019-06_game_0009177,bullet,26,422.0245,303.0092,0.215715,0.205007,0.06169,0.135338,0.269415,0.63342
2019-05_game_0012166,bullet,100,606.9423,571.8138,0.569184,0.49213,0.400946,0.579728,0.680795,0.696952
2019-05_game_0014228,bullet,100,471.2712,379.0018,0.578223,0.425075,0.491453,0.402556,0.638844,0.64851
2019-06_game_0027264,bullet,35,129.4769,296.9952,0.60235,0.469739,0.602648,0.12853,0.663429,0.230257
2019-05_game_0007219,bullet,100,682.6716,801.7886,0.379105,0.371312,0.372056,0.322289,0.285917,0.426842
2019-04_game_0010571,bullet,92,264.1897,153.8116,0.394528,0.588256,0.298242,0.407787,0.479812,0.604129
2019-04_game_0028411,bullet,36,191.2432,317.9541,0.313869,0.414738,0.147812,0.629923,0.157121,0.377002
2019-05_game_0010305,bullet,88,212.2195,234.4379,0.392047,0.638817,0.259418,0.852711,0.354782,0.696553
2023-05_game_0026493,bullet,84,308.9103,318.3553,0.560904,0.381678,0.671586,0.390693,0.173316,0.508265
2019-06_game_0007751,bullet,77,185.5298,187.5729,0.667077,0.36446,0.330455,0.299303,0.605371,0.356079
2019-01_game_0027204,bullet,100,323.1752,345.5917,0.509013,0.410134,0.413454,0.354557,0.34131,0.400627
2019-06_game_0005700,bullet,80,263.8318,257.6104,0.371616,0.464067,0.274581,0.842673,0.147579,0.638516
2023-05_game_0024613,bullet,41,362.6809,389.8625,0.612531,0.404312,0.264384,0.198605,0.55947,0.133179
2019-01_game_0023919,bullet,86,226.7387,208.4618,0.297925,0.748386,0.347381,0.88072,0.622873,0.548155
2019-04_game_0003044,bullet,65,304.277,289.3391,0.643996,0.571126,0.211894,0.259907,0.589519,0.197351
2019-03_game_0004225,bullet,62,386.4348,299.9264,0.423588,0.534768,0.328589,0.338635,0.460496,0.896286
2019-01_game_0025144,bullet,55,249.8828,444.4651,0.581395,0.46926,0.703466,0.250229,0.674521,0.225892
2023-05_game_0008548,bullet,100,120.4801,158.0145,0.556016,0.383351,0.510519,0.357186,0.39028,0.290494
2019-02_game_0021401,bullet,55,278.8408,304.4211,0.602524,0.310756,0.20377,0.334466,0.6445,0.385383
2019-04_game_0015546,bullet,57,92.1771,94.7343,0.636522,0.44838,0.264714,0.416618,0.511503,0.68751
2019-03_game_0015440,bullet,33,379.6205,256.9396,0.500909,0.424077,0.127065,0.071402,0.394367,0.179145
2019-05_game_0020505,bullet,48,133.1555,118.6191,0.467748,0.437644,0.207468,0.338182,0.192052,0.256736
2019-06_game_0028930,bullet,44,92.377,92.3719,0.22419,0.597301,0.179124,0.724343,0.727,0.321794
2023-05_game_0002866,bullet,100,133.8891,117.9168,0.503304,0.533505,0.355569,0.399655,0.557046,0.55442
2019-05_game_0010660,bullet,100,147.3424,153.2096,0.437685,0.471048,0.520419,0.405238,0.395979,0.558288
2023-05_game_0001915,bullet,66,215.7266,238.7581,0.801805,0.356012,0.434796,0.346234,0.266237,0.747086
2019-01_game_0005449,bullet,65,162.8112,196.9961,0.740747,0.353228,0.959925,0.187116,0.675211,0.174104
2019-01_game_0014515,bullet,100,482.4839,402.5162,0.681205,0.513703,0.738431,0.42249,0.482232,0.54385
2019-02_game_0022235,bullet,93,84.0493,87.8256,0.754696,0.3606,0.657543,0.289595,0.889574,0.730374
2019-05_game_0018823,bullet,61,138.9415,131.4287,0.47206,0.62317,0.422779,0.295392,0.579439,0.275523
2019-01_game_0028991,bullet,27,220.0144,176.9123,0.500941,0.505584,0.633865,0.083693,0.730885,0.320833
2019-05_game_0017386,bullet,87,120.7939,120.5856,0.68913,0.469841,0.383545,0.520437,0.605919,0.55068
2019-02_game_0026622,bullet,51,276.2336,280.7639,0.846591,0.442492,0.427034,0.188988,0.729998,0.30892
2019-02_game_0014541,bullet,70,736.9802,680.7978,0.41931,0.440473,0.292689,0.291737,0.343564,0.315577
2019-04_game_0015516,bullet,65,100.2106,87.8233,0.600082,0.397278,0.30724,0.414935,0.508078,0.396574
2019-02_game_0015129,bullet,35,213.669,112.7728,0.483586,0.48788,0.703916,0.155363,0.545934,0.211143
2019-03_game_0008606,bullet,79,331.42,293.9495,0.563492,0.432304,0.907968,0.324075,0.699318,0.534438
